Pergunta,Contexto
Qual é a diferença entre LangChain e LlamaIndex?,Ambos são frameworks para LLMs; o LangChain foca no encadeamento de agentes e uso de ferramentas enquanto o LlamaIndex é mais otimizado para a ingestão e estruturação inicial de dados para RAG.
Como a infraestrutura em nuvem beneficia um projeto de RAG?,Serviços de nuvem permitem escalar o processamento do backend hospedar bancos vetoriais robustos e gerir pipelines de dados com alta disponibilidade.
O que é a técnica de Prompt Engineering em sistemas RAG?,É a arte de estruturar a pergunta do utilizador e o contexto recuperado de forma otimizada num único texto para que o LLM compreenda perfeitamente o que deve extrair.
Por que a latência é um desafio em arquiteturas RAG?,O sistema exige múltiplas chamadas de rede sequenciais (gerar embedding da pergunta buscar no banco chamar o LLM gerador) o que pode atrasar a resposta ao utilizador se não for bem desenhado.
Como garantir que as credenciais e chaves de API fiquem seguras no projeto?,Utilizando variáveis de ambiente (ficheiros .env) no backend Flask e nunca comitando essas chaves diretamente no código-fonte em repositórios como o GitHub.
O que e um pipeline de dados?,"É um conjunto de processos automatizados que extraem dados de várias fontes, transformam para o formato correto e carregam em um banco de destino para análise."
Qual a diferenca entre ETL e ELT?,No ETL a transformacao dos dados ocorre antes de chegar ao banco de destino. No ELT os dados sao carregados brutos no banco e transformados la dentro aproveitando o poder de processamento do proprio banco.
O que e um Data Lake?,Um repositorio centralizado que armazena grandes volumes de dados brutos estruturados e nao estruturados na sua forma nativa para processamento futuro.
O que e um Data Warehouse?,Um sistema de armazenamento focado em consultas e analises de dados historicos ja processados e estruturados para facilitar a tomada de decisao.
Como o BigQuery atua na engenharia de dados?,Ele funciona como um data warehouse totalmente gerenciavel em nuvem permitindo rodar consultas SQL muito rapidas em petabytes de dados sem precisar gerenciar servidores.
O que e processamento em Batch?,E a execucao de tarefas de processamento de dados em lotes programados geralmente em horarios de menor pico em vez de processar cada dado assim que ele chega.
O que e processamento via Streaming?,E o processamento continuo de dados em tempo real a medida que sao gerados ideal para sistemas que precisam de respostas imediatas.
Qual a vantagem de usar o Cloud Run?,Ele permite rodar conteineres de forma serverless ou seja voce so paga pelo tempo exato que o codigo estiver rodando e a escalabilidade e automatica.
O que e o Firestore?,Um banco de dados NoSQL orientado a documentos totalmente gerenciavel flexivel e escalavel otimo para sincronizacao em tempo real de aplicacoes.
Qual a diferenca entre bancos relacionais e NoSQL?,Bancos relacionais usam tabelas rigidas com esquemas definidos como o PostgreSQL enquanto NoSQL armazena dados de forma flexivel como documentos ou chave-valor.
Para que serve o PostgreSQL?,E um banco de dados relacional de codigo aberto muito robusto confiavel e que suporta consultas complexas e grandes volumes de transacoes.
O que e a extensao pgvector?,E uma extensao para o PostgreSQL que permite armazenar e consultar embeddings vetoriais transformando um banco relacional tradicional num banco de vetores.
Por que usar Python na engenharia de dados?,Sua sintaxe simples e a enorme quantidade de bibliotecas especializadas tornam o Python a linguagem padrao para construir pipelines e manipular dados.
O que e o Apache Airflow?,Uma plataforma para criar programar e monitorar fluxos de trabalho e pipelines de dados de forma programatica usando Python.
Qual a funcao do Docker num projeto de software?,Ele empacota a aplicacao e todas as suas dependencias num conteiner garantindo que o software rode da mesma forma em qualquer ambiente ou maquina.
Como o Linux facilita o deploy de aplicacoes?,A maioria dos servidores em nuvem usa Linux devido a sua estabilidade seguranca e facilidade de automacao via scripts de terminal.
Por que o Ubuntu e tao usado por desenvolvedores?,E uma distribuicao Linux amigavel com excelente suporte da comunidade e repositorios ricos em pacotes facilitando a instalacao de ferramentas de desenvolvimento.
O que e uma API REST?,E uma interface que permite a comunicacao entre sistemas diferentes usando regras padronizadas e metodos HTTP como GET e POST.
Qual a diferenca entre Flask e FastAPI?,O Flask e minimalista e otimo para aplicacoes simples enquanto o FastAPI e mais moderno focado em alta performance e documentacao automatica.
O que sao variaveis de ambiente?,Sao valores dinamicos armazenados fora do codigo fonte do sistema operacional muito usados para guardar senhas e chaves de API com seguranca.
O que e controle de versao?,E o sistema que registra as alteracoes em arquivos ao longo do tempo como o Git permitindo reverter versoes e trabalhar em equipe sem sobrescrever codigos.
Qual o papel do GitHub no desenvolvimento?,Ele atua como uma plataforma de hospedagem de codigo fonte baseada em Git facilitando o trabalho colaborativo e o portfolio do desenvolvedor.
O que e CI/CD?,Integracao Continua e Entrega Continua sao praticas que automatizam testes e o deploy de codigo acelerando a entrega de novas funcionalidades.
O que e latencia de rede?,E o tempo que um pacote de dados leva para ir de um ponto a outro na rede impactando diretamente a velocidade de resposta de chatbots e APIs.
O que e Web Scraping?,E a tecnica de extrair dados de forma automatizada de sites da internet muito usada para alimentar bases de dados quando nao ha APIs disponiveis.
Qual a importancia da limpeza de dados?,Dados inconsistentes com valores nulos ou duplicados geram analises erradas e pioram drasticamente a qualidade das respostas de modelos de IA.
O que e escalabilidade horizontal?,E o processo de aumentar a capacidade do sistema adicionando mais maquinas ou servidores trabalhando juntos em vez de melhorar uma unica maquina.
O que e escalabilidade vertical?,E o aumento da capacidade de um sistema adicionando mais recursos como memoria ou processador a uma maquina ja existente.
O que e particionamento de dados?,E a divisao de um grande banco de dados em partes menores para melhorar a velocidade das consultas e facilitar a manutencao.
Como a memoria em cache ajuda o desempenho?,O cache guarda os dados acessados com frequencia em uma camada de acesso ultrarrapido evitando consultas repetidas ao banco de dados principal.
O que sao tokens em modelos de linguagem?,Sao as unidades basicas de texto que o modelo processa podendo ser palavras inteiras partes de palavras ou ate letras soltas.
O que e a janela de contexto de um LLM?,E o limite maximo de tokens que um modelo consegue analisar de uma so vez entre a pergunta feita e a resposta gerada.
Como o parametro de temperatura afeta a IA?,A temperatura controla a criatividade da resposta valores baixos geram textos mais precisos e obvios enquanto valores altos geram textos mais variados e imprevisiveis.
O que e Top-K na geracao de texto?,E um filtro que restringe as proximas palavras possiveis as K opcoes mais provaveis ajudando a manter a resposta coerente.
O que e Top-P na geracao de texto?,Semelhante ao Top-K mas seleciona as palavras com base em uma probabilidade cumulativa oferecendo um balanco dinamico entre foco e variedade.
Qual o impacto de embeddings de alta dimensao?,Eles capturam nuances semanticas muito mais profundas mas exigem mais poder computacional e espaco de armazenamento nos bancos vetoriais.
O que e overlap no chunking de textos?,E a pratica de sobrepor um pedaco do texto anterior no proximo chunk para garantir que o contexto na transicao das frases nao seja perdido.
O que sao dados estruturados?,Sao dados organizados num formato pre-definido e rigido como tabelas de bancos relacionais com linhas e colunas.
O que sao dados nao estruturados?,Sao dados que nao seguem um modelo especifico como textos livres imagens audios e videos correspondendo a maior parte dos dados do mundo real.
O que e um modelo de fundacao (Foundation Model)?,E um modelo de IA massivo treinado com uma quantidade gigantesca de dados gerais que pode ser adaptado para resolver dezenas de tarefas diferentes.
Como lidar com o limite de requisicoes de uma API?,Usando tecnicas como backoff exponencial onde o sistema espera um tempo cada vez maior antes de tentar fazer a chamada novamente apos uma falha.
O que e JSON?,E um formato leve de troca de dados muito facil de ler para humanos e simples para maquinas processarem padrao absoluto em APIs web.
O que e uma query SQL otimizada?,E uma consulta escrita de forma a minimizar o consumo de recursos do banco utilizando os indices corretos e evitando varreduras completas em tabelas.
Qual a funcao da clausula JOIN no SQL?,Ela permite cruzar e combinar registros de duas ou mais tabelas num banco de dados relacionais com base em uma coluna comum entre elas.
Para que serve um indice num banco de dados?,Ele funciona como o indice de um livro acelerando drasticamente a busca por dados especificos sem precisar ler a tabela inteira linha por linha.
O que e arquitetura Serverless?,E um modelo de computacao em nuvem onde o desenvolvedor nao precisa gerenciar os servidores focando apenas no codigo e pagando pelo uso exato.
O que e um container orchestration?,E a automacao da implantacao gerenciamento e dimensionamento de conteineres sendo o Kubernetes a ferramenta mais famosa para isso.
Como o React melhora a construcao de interfaces?,Ele usa componentes reutilizaveis e o conceito de Virtual DOM para atualizar apenas as partes da tela que realmente mudaram melhorando a performance.
O que e o Virtual DOM no React?,E uma copia leve da interface em memoria que o React usa para comparar mudancas e atualizar o navegador da forma mais eficiente possivel.
O que e o Vite?,E uma ferramenta de construcao de frontend super rapida que serve o codigo via modulos nativos do navegador acabando com a lentidao na hora do desenvolvimento.
Qual a funcao de um Hook no React?,Hooks sao funcoes que permitem gerenciar estado e o ciclo de vida dos componentes funcionais no React de forma simples.
O que e o hook useState?,E a principal forma de criar uma variavel de estado dentro de um componente React para que a interface atualize quando o valor dessa variavel mudar.
O que e o hook useEffect?,Ele permite executar efeitos colaterais nos componentes como buscar dados numa API assim que a tela e carregada ou quando um estado muda.
Qual a diferenca entre Frontend e Backend?,O frontend e a interface visual onde o usuario clica e interage enquanto o backend e o motor invisivel que processa regras de negocio e banco de dados.
O que e um microservico?,E uma arquitetura onde uma grande aplicacao e dividida em servicos menores e independentes facilitando a manutencao e o deploy.
Qual a funcao de um Load Balancer?,Ele distribui o trafego de rede recebido de forma equilibrada entre varios servidores evitando que um unico servidor fique sobrecarregado.
O que e Machine Learning?,E a area da inteligencia artificial onde as maquinas aprendem padroes a partir de dados sem serem explicitamente programadas para a tarefa final.
Qual a diferenca entre IA Preditiva e Generativa?,A preditiva analisa dados passados para prever resultados futuros enquanto a generativa cria conteudos totalmente novos como textos e imagens.
Como proteger uma aplicacao web contra ataques?,Validando todos os dados de entrada usando HTTPS criptografando senhas e mantendo bibliotecas e servidores sempre atualizados.
O que e o CORS em aplicacoes web?,E um mecanismo de seguranca dos navegadores que bloqueia requisicoes feitas de um dominio para outro a menos que o servidor de destino permita explicitamente.
O que e um ORM?,Object-Relational Mapping e uma tecnica que permite manipular bancos de dados relacionais usando o paradigma de orientacao a objetos da linguagem de programacao.
Qual o desafio de manter estado em servidores web?,Servidores REST sao stateless ou seja nao lembram de requisicoes passadas exigindo o uso de tokens ou sessoes para identificar o usuario logado.
O que e um Token JWT?,E um padrao compacto e seguro para transmissao de informacoes entre partes como um objeto JSON muito usado para autenticacao em APIs.
Como a infraestrutura como codigo (IaC) ajuda os times?,Permite provisionar e gerenciar recursos de nuvem usando arquivos de codigo em vez de cliques num painel garantindo que os ambientes sejam inalteraveis e replicaveis.
O que e o dbt (Data Build Tool)?,E uma ferramenta que foca exclusivamente na transformacao de dados dentro do data warehouse utilizando SQL e boas praticas de engenharia de software.
Como gerenciar dependencias no Python?,Usando arquivos como requirements.txt junto com ambientes virtuais como venv para garantir que as bibliotecas do projeto nao entrem em conflito com o sistema.
Qual a importancia dos logs numa aplicacao?,Logs bem estruturados sao vitais para investigar erros e entender o comportamento do sistema apos ele entrar em producao.
O que e monitoramento de infraestrutura?,E a coleta de metricas como uso de CPU memoria e trafego de rede para identificar gargalos e garantir que o sistema esta saudavel e disponivel.
O que e Roteamento de Logs?,E a pratica de capturar logs de diversas aplicacoes e conteineres enviando-os para uma central unica de pesquisa e visualizacao.
O que significa ser Data Driven?,E a cultura de tomar decisoes estrategicas e de negocio baseadas na analise fatual de dados em vez de achismos ou intuicoes.
O que e um modelo Estrela (Star Schema)?,"É uma técnica de modelagem de dados onde uma tabela de fatos central é conectada a várias tabelas de dimensões, formando o desenho de uma estrela, ideal para consultas rápidas."
O que e um modelo Floco de Neve (Snowflake)?,"Uma variação do modelo estrela onde as tabelas de dimensão são normalizadas (divididas em tabelas menores), economizando espaço de armazenamento, mas exigindo mais joins nas consultas."
O que sao Tabelas de Fatos?,"São tabelas que armazenam os eventos de negócio ou transações quantitativas, como vendas, cliques ou medições, contendo chaves estrangeiras e métricas numéricas."
O que sao Tabelas de Dimensao?,"São tabelas que contêm os atributos descritivos que dão contexto aos dados das tabelas de fatos, como informações de clientes, produtos, locais ou datas."
O que e uma Slowly Changing Dimension (SCD)?,É um conceito usado em data warehouses para gerenciar e rastrear mudanças no histórico dos dados de uma dimensão ao longo do tempo.
Qual a diferenca entre SCD Tipo 1 e Tipo 2?,"O Tipo 1 sobrescreve o dado antigo com o novo, perdendo o histórico. O Tipo 2 cria uma nova linha para a alteração, mantendo todo o histórico de mudanças acessível."
O que e particionamento de tabelas no BigQuery?,"É a divisão de uma tabela grande em pedaços menores (geralmente por data), o que reduz drasticamente a quantidade de dados lidos numa consulta e diminui os custos."
O que e clusterizacao no BigQuery?,"É a organização física dos dados com base no conteúdo de uma ou mais colunas, acelerando consultas que filtram ou agregam dados usando essas colunas."
Qual a vantagem de usar o Cloud Storage num pipeline de dados?,"Ele funciona como o ponto de entrada (Data Lake) altamente escalável e barato para armazenar arquivos brutos (CSV, JSON, Parquet) antes de serem processados."
O que e o Apache Parquet?,"Um formato de arquivo de armazenamento colunar de código aberto, altamente otimizado para compressão de dados e leitura rápida em sistemas analíticos."
Por que o formato colunar e melhor para analise do que o baseado em linhas?,"Porque permite ler e processar apenas as colunas específicas solicitadas na consulta, economizando muita memória e tempo de I/O em comparação a ler a linha inteira."
O que e o formato Apache Avro?,"Um formato de serialização de dados baseado em linhas, muito utilizado em streaming e mensageria (como Kafka) por ser compacto e suportar evolução de esquema."
O que e a evolucao de esquema (Schema Evolution)?,É a capacidade de atualizar a estrutura de um banco de dados ou arquivo (como adicionar ou remover colunas) sem quebrar os pipelines ou os dados já existentes.
O que e o Cloud Pub/Sub?,"Um serviço de mensageria assíncrona do Google Cloud, ideal para ingerir grandes volumes de dados em tempo real (streaming) de forma confiável."
O que e o Dataflow?,"Um serviço de processamento de dados do GCP baseado no Apache Beam, usado para executar pipelines complexos tanto em lote (batch) quanto em tempo real (streaming)."
O que e o Dataproc?,"Um serviço gerenciado no GCP para rodar clusters Apache Hadoop e Apache Spark, útil para migrar cargas de trabalho de Big Data tradicionais para a nuvem."
O que e o Apache Spark?,"Um motor de processamento de dados distribuído em memória, extremamente rápido e versátil, padrão na indústria para processar volumes massivos de dados."
Qual a diferenca entre Pandas e PySpark?,"O Pandas processa dados na memória de uma única máquina, ideal para datasets menores. O PySpark distribui o processamento em várias máquinas, ideal para Big Data."
O que e o Lazy Evaluation no Spark?,É uma técnica onde o Spark não executa as transformações imediatamente; ele cria um plano de execução e só processa os dados quando uma ação (como salvar ou mostrar) é chamada.
Para que serve a biblioteca Polars no Python?,"É uma alternativa moderna e incrivelmente mais rápida ao Pandas para manipulação de dados, escrita em Rust e otimizada para aproveitar múltiplos núcleos do processador."
O que e a Common Table Expression (CTE) no PostgreSQL?,"É uma consulta temporária nomeada (usando a cláusula WITH) que ajuda a simplificar, organizar e modularizar queries SQL complexas, tornando-as mais fáceis de ler."
Para que serve a Window Function no SQL?,Permite realizar cálculos em um conjunto de linhas relacionadas à linha atual (como médias móveis ou rankings) sem agrupar e colapsar os resultados em uma única linha.
O que faz a funcao ROW_NUMBER() em SQL?,"É uma window function que atribui um número sequencial único para cada linha dentro de uma partição de dados, muito útil para remover duplicatas."
Qual a diferenca entre RANK() e DENSE_RANK()?,"Ambas atribuem posições, mas em caso de empate, o RANK() pula a próxima numeração (ex: 1, 2, 2, 4), enquanto o DENSE_RANK() não pula (ex: 1, 2, 2, 3)."
O que e um Materialized View (Visao Materializada)?,"Diferente de uma view comum, ela salva fisicamente no disco o resultado de uma query complexa, permitindo leituras ultrarrápidas à custa de precisar ser atualizada periodicamente."
O que e um comando UPSERT no banco de dados?,"É a combinação de UPDATE e INSERT: o banco tenta inserir uma nova linha; se a chave já existir, ele atualiza a linha existente em vez de gerar um erro de duplicação."
Como realizar um UPSERT no PostgreSQL?,"Utilizando o comando INSERT INTO junto com a cláusula ON CONFLICT (chave) DO UPDATE SET, garantindo que o dado seja atualizado caso já exista."
O que e o comando MERGE no BigQuery?,"É a operação padrão em data warehouses para realizar rotinas de UPSERT, permitindo atualizar, inserir ou deletar registros comparando uma tabela base com novos dados."
Para que serve o comando EXPLAIN ANALYZE no PostgreSQL?,"Ele executa a query e retorna o plano de execução detalhado escolhido pelo banco, mostrando exatamente onde estão os gargalos de tempo e uso de índices."
O que e o Vacuum no PostgreSQL?,É um processo de manutenção essencial que libera o espaço em disco ocupado por linhas deletadas ou atualizadas (tuplas mortas) para evitar a lentidão do banco.
O que e um Deadlock em bancos de dados?,"Ocorre quando duas ou mais transações ficam bloqueadas esperando indefinidamente que a outra libere um recurso, travando a operação."
O que sao propriedades ACID?,"Atomicidade, Consistência, Isolamento e Durabilidade. São os quatro princípios que garantem que as transações num banco relacional ocorram de forma segura e confiável."
O que e idempotencia em pipelines de dados?,"É a garantia de que um pipeline pode ser executado várias vezes e produzir exatamente o mesmo resultado final, sem gerar dados duplicados ou corrompidos."
Como garantir idempotencia num processo de ETL?,"Usando chaves primárias fortes, comandos de MERGE/UPSERT em vez de apenas INSERT, e particionando os dados por data de processamento."
O que e Data Lineage (Linhagem de Dados)?,"É o rastreamento do ciclo de vida dos dados: de onde vieram, por quais transformações passaram no pipeline e onde estão sendo consumidos."
Para que serve um Data Catalog (Catalogo de Dados)?,"É um inventário centralizado que organiza os metadados (dicionários de dados, linhagem, responsáveis), permitindo que analistas encontrem e compreendam os dados disponíveis."
O que e Data Governance (Governanca de Dados)?,"É o conjunto de políticas, processos e regras que garantem a qualidade, segurança, privacidade e uso correto dos dados dentro de uma organização."
O que e Data Quality (Qualidade de Dados)?,"É a medida da confiabilidade dos dados, baseada em pilares como precisão, completude, consistência, atualidade e validade."
Como testar a qualidade dos dados num pipeline?,"Implementando verificações automáticas (como as do Great Expectations) que garantem que não há valores nulos indevidos, chaves duplicadas ou formatos errados antes de liberar os dados."
O que e o Great Expectations?,"É uma biblioteca open-source em Python que permite criar testes automatizados de qualidade de dados para pipelines, funcionando como testes unitários para dados."
O que e Change Data Capture (CDC)?,"É uma técnica para identificar e capturar apenas as alterações (inserts, updates, deletes) feitas num banco de dados fonte, enviando-as em tempo real para o data warehouse."
Qual a vantagem do CDC em relacao a cargas full?,"O CDC processa apenas o que mudou, exigindo muito menos banda de rede e capacidade computacional do que carregar a tabela inteira todos os dias."
O que e o Debezium?,"Uma plataforma open-source distribuída e construída sobre o Kafka, que é o padrão de mercado para realizar operações de Change Data Capture em bancos relacionais."
O que e o Apache Kafka?,"Uma plataforma distribuída de streaming de eventos, altamente escalável, usada para construir pipelines de dados em tempo real e arquiteturas orientadas a eventos."
Qual a diferenca entre Pub/Sub e Kafka?,"Ambos fazem streaming. O Pub/Sub é totalmente gerenciado pelo Google e muito simples de usar, enquanto o Kafka oferece mais controle e recursos, mas exige gerenciamento pesado de infraestrutura."
O que e um Directed Acyclic Graph (DAG) no Airflow?,"É a representação visual e lógica de um fluxo de trabalho. É um gráfico direcionado (com início e fim claros) e acíclico (não possui loops infinitos), definindo a ordem das tarefas."
O que e o Cloud Composer?,"É a versão totalmente gerenciada do Apache Airflow fornecida pelo Google Cloud, tirando a necessidade de instalar e manter a infraestrutura do orquestrador."
Como o Airflow se comunica com outros servicos?,"Através de Hooks (conexões) e Operators (tarefas específicas para cada serviço, como BigQueryOperator ou PostgresOperator), permitindo orquestrar praticamente qualquer ferramenta."
O que e o dbt core?,"É a versão de linha de comando open-source da ferramenta de transformação de dados dbt, operada localmente ou em servidores Linux para rodar as pipelines SQL."
O que e uma Jinja Template no dbt?,"É uma linguagem de template do Python que permite inserir lógicas de programação (como IFs, FOR loops e variáveis) dentro das consultas SQL, tornando o código muito mais dinâmico e reutilizável."
O que sao dbt models?,São basicamente arquivos com consultas SQL (geralmente SELECTs). O dbt se encarrega de criar automaticamente a tabela ou view correspondente no banco de destino.
O que e Data Mesh (Malha de Dados)?,"Uma arquitetura descentralizada onde a responsabilidade pelos dados não fica num único time central, mas é dividida entre as áreas de negócio (domínios) que produzem os dados."
O que significa tratar 'Dados como Produto'?,"É um dos pilares do Data Mesh, onde os datasets são tratados com a mesma qualidade, documentação e suporte de um software entregue a um cliente final."
O que e Reverse ETL?,"É o processo de pegar dados já limpos e enriquecidos no Data Warehouse (como o BigQuery) e enviá-los de volta para ferramentas operacionais, como CRMs e sistemas de marketing."
Qual a funcao do Fivetran ou Airbyte num projeto de dados?,"São ferramentas focadas em resolver exclusivamente a etapa de Extração e Carregamento (EL), movendo dados de centenas de fontes para o warehouse de forma automatizada e com poucos cliques."
O que e um Data Vault?,"Uma metodologia avançada de modelagem de dados focada em agilidade e rastreabilidade total do histórico, composta por Hubs, Links e Satellites, muito usada em data warehouses massivos."
O que e Sharding num banco de dados?,É uma técnica de escalabilidade horizontal que divide um grande banco de dados em várias partes menores (shards) distribuídas em diferentes servidores físicos.
O que e a normalizacao de dados?,"É o processo de organizar dados em tabelas relacionais reduzindo a redundância e garantindo a integridade, geralmente dividida em regras chamadas de Formas Normais (1NF, 2NF, 3NF)."
O que e a desnormalizacao?,É a introdução intencional de redundância de dados numa tabela agrupada para melhorar o tempo de leitura e evitar consultas cheias de joins lentos em cenários analíticos.
Como funciona o armazenamento em nuvem no modelo Object Storage?,"Diferente de sistemas de arquivos tradicionais, os dados são armazenados como objetos com metadados detalhados num espaço plano (sem hierarquia de pastas real), garantindo escala infinita."
O que e o Cloud IAM no GCP?,"Identity and Access Management. É o serviço que gerencia autenticação e autorização, definindo exatamente quem (usuário ou serviço) tem qual permissão em qual recurso na nuvem."
O que e um Service Account (Conta de Servico)?,"Uma conta especial do IAM usada não por pessoas, mas por aplicações (como o Cloud Run ou Airflow) para se autenticar e interagir com outros serviços do GCP de forma segura."
O que e o Google Secret Manager?,"Um serviço seguro para armazenar chaves de API, senhas de banco de dados e certificados, evitando que essas informações sensíveis fiquem expostas no código fonte."
Qual a vantagem de usar o Firestore para aplicacoes e o BigQuery para analises?,"O Firestore é NoSQL e focado em buscas ultrarrápidas de registros individuais (transacional/OLTP), já o BigQuery é otimizado para ler milhões de registros e fazer agregações pesadas (analítico/OLAP)."
O que e OLTP?,"Online Transaction Processing. Sistemas focados em gerenciar grandes volumes de transações curtas em tempo real, como um banco de dados PostgreSQL rodando num e-commerce."
O que e OLAP?,"Online Analytical Processing. Sistemas projetados para analisar grandes volumes de dados históricos rapidamente, suportando análises de negócios avançadas, como o BigQuery."
O que e uma rotina de Backfill em engenharia de dados?,"É o processo de reprocessar dados históricos de períodos anteriores após uma correção de bug no código, alteração de regra de negócio ou criação de um novo pipeline."
Como tratar valores nulos num dataset (Imputacao)?,"Pode-se preencher com a média ou mediana, usar um valor padrão como 'Desconhecido', ou usar modelos estatísticos para prever e preencher o dado faltante."
O que e um Outlier?,"É um ponto de dado que se desvia significativamente do resto do conjunto de dados, podendo ser um erro de coleta ou uma anomalia real de alto valor analítico."
O que e o Apache Iceberg?,"Um formato de tabela aberta projetado para enormes cargas de trabalho analíticas, que permite usar comandos SQL padrão (como UPDATE e DELETE) sobre dados que estão num Data Lake (como o Cloud Storage)."
Qual a diferenca entre um Data Lake e um Lakehouse?,"O Lakehouse une o melhor dos dois mundos: o baixo custo e flexibilidade de armazenamento de um Data Lake com a organização, governança e suporte a SQL de um Data Warehouse."
O que e a tecnica de MapReduce?,"Um modelo de programação focado em processar Big Data: o 'Map' filtra e classifica os dados em nós paralelos, e o 'Reduce' sumariza e consolida os resultados parciais num resultado final."
O que e um cluster Kubernetes no contexto de dados?,"É o sistema que orquestra e gerencia os contêineres Docker da infraestrutura de dados (como o Airflow ou APIs de ingestão), garantindo que eles autoescalem e reiniciem em caso de falha."
Como o crontab do Linux e usado em dados?,"É uma ferramenta de agendamento em sistemas Unix/Ubuntu que permite executar scripts Python ou de shell em horas e dias específicos, sendo a forma mais simples de orquestração."
O que e o bash num servidor Ubuntu?,"É o terminal de linha de comando padrão do Linux, vital para o engenheiro de dados automatizar tarefas de infraestrutura, navegar em pastas e manipular arquivos brutos usando scripts."
O que faz o comando grep no Linux?,É um utilitário poderoso de busca em textos no terminal; permite varrer rapidamente arquivos de log gigantescos em busca de padrões de erro específicos.
Como o SSH e utilizado no dia a dia?,Secure Shell é um protocolo que permite que o engenheiro acesse e controle servidores remotos na nuvem de forma segura e encriptada através do terminal local.
